dateiname	speicherzeit
rk20080618_1bvr133608	2017-08-31 10:24:08GMT
rk20151217_1bvr316413	2017-08-31 12:13:48GMT
rk20090324_2bvr234708	2017-08-31 10:11:38GMT
rk20120620_2bvr156511	2017-08-31 12:57:16GMT
rk20151027_2bvr180914	2017-08-31 12:16:16GMT
rk20070620_1bvr102807	2017-08-31 10:37:14GMT
rk19980212_1bvr027297	2017-08-31 09:32:54GMT
qk20170914_2bvq005617	2018-03-07 14:06:31GMT
rk20140711_1bvr188411	2017-08-31 12:34:26GMT
rk19990625_2bvr066799	2017-08-31 09:11:12GMT
rk20030919_1bvr169803	2017-08-31 11:32:42GMT
rk19980811_1bvr127094	2017-08-31 09:24:28GMT
fs20021031_1bvf000196	2017-08-31 08:08:42GMT
rk20140917_2bvr073214	2017-08-31 12:32:18GMT
rk20081218_1bvr260406	2017-08-31 10:15:48GMT
rk20090625_1bvr013403	2017-08-31 10:07:44GMT
rk20060529_1bvr043003	2017-08-31 10:53:34GMT
rk20080826_2bvr033508	2017-08-31 10:22:04GMT
rk19990211_2bvr022998	2017-08-31 09:18:08GMT
fs20150721_1bvf000213	2017-08-31 12:22:02GMT
rk19991217_1bvr161199	2017-08-31 09:03:20GMT
rk19990413_2bvr057799	2017-08-31 09:14:08GMT
rk20030514_2bvr174000	2017-08-31 11:36:22GMT
rk19991201_1bvr232494	2017-08-31 09:04:58GMT
rk20160226_2bvr039916	2017-08-31 12:11:04GMT
rk20160706_1bvr170515	2017-08-31 12:03:12GMT
rk20090224_1bvr018809	2017-08-31 10:13:32GMT
qk20031111_1bvq002901	2017-08-31 11:29:46GMT
rk20170102_1bvr232416	2017-08-31 11:53:40GMT
rk20100914_1bvr174506	2017-08-31 13:25:32GMT
rk20001114_2bvr193100	2017-08-31 08:46:10GMT
rk20030520_1bvr023797	2017-08-31 11:36:08GMT
ls19980324_1bvl000692	2017-08-31 09:30:44GMT
rs19991007_1bvr161394	2017-08-31 09:07:28GMT
lk20090722_2bvl000309	2017-08-31 10:06:04GMT
rk20140122_1bvr089113	2017-08-31 12:40:08GMT
rk20021230_2bvr178602	2017-08-31 08:04:56GMT
cs20001009_2bvc000899	2017-08-31 08:48:12GMT
rk20161215_2bvr022211	2017-08-31 11:54:40GMT
rk20150512_2bvr295410	2017-08-31 12:24:54GMT
rk19980729_1bvr028793	2017-08-31 09:25:08GMT
rk20131128_2bvr278412	2017-08-31 12:41:44GMT
rk20031119_2bvr053800	2017-08-31 11:29:28GMT
rk20110420_1bvr062411	2017-08-31 13:16:22GMT
lk20151229_1bvl000411	2017-08-31 12:13:30GMT
rk20060720_1bvr034606	2017-08-31 10:50:02GMT
rk20000309_1bvr166297	2017-08-31 08:58:54GMT
rk20161223_1bvr172314	2017-08-31 11:53:52GMT
qk20030520_1bvq002901	2017-08-31 11:36:12GMT
rk20081112_1bvr245906	2017-08-31 10:18:42GMT
qk20030814_1bvq003003	2017-08-31 11:33:28GMT
ls20050316_2bvl000700	2017-08-31 11:10:06GMT
rk20170322_2bvr245916	2017-08-31 11:49:44GMT
rk20010119_1bvr175991	2017-08-31 08:43:14GMT
rk20021121_2bvr160902	2017-08-31 08:07:42GMT
rk19991215_1bvr072992	2017-08-31 09:03:28GMT
rk20020128_2bvr156301	2017-08-31 08:22:38GMT
rk20100323_2bvr033410	2017-08-31 13:33:42GMT
bs20011204_2bvb000101	2017-08-31 08:25:40GMT
rk20000131_2bvr010400	2017-08-31 09:01:52GMT
rk20160721_1bvr309215	2017-08-31 12:01:22GMT
rs20040602_1bvr078294	2017-08-31 11:19:38GMT
rk20150703_1bvr240511	2017-08-31 12:22:48GMT
ls20120502_1bvl002009	2017-08-31 13:00:22GMT
rk20091001_1bvr196909	2017-08-31 10:02:20GMT
rk20161223_1bvr351113	2017-08-31 11:53:52GMT
rk20171205_2bvr022211	2018-03-07 14:00:12GMT
rk20090518_1bvr014209	2017-08-31 10:09:14GMT
rk20130822_1bvr106712	2017-08-31 12:44:06GMT
rk20100811_2bvr135410	2017-08-31 13:27:40GMT
rk20110302_2bvr013310	2017-08-31 13:18:44GMT
rs20031218_2bvr102702	2017-08-31 11:27:56GMT
rk20020611_2bvr119401	2017-08-31 08:15:12GMT
qk20170921_2bvq004017	2018-03-07 13:58:53GMT
rk20080423_2bvr214407	2017-08-31 10:26:02GMT
rk20070319_2bvr227306	2017-08-31 10:41:16GMT
rk19980729_1bvr105091	2017-08-31 09:25:14GMT
rk20040511_2bvr069304	2017-08-31 11:20:16GMT
rk20120220_1bvr269511	2017-08-31 13:03:08GMT
rk20100908_2bvr143410	2017-08-31 13:25:56GMT
ls20101012_1bvl001409	2017-08-31 13:24:14GMT
rk20160629_1bvr348714	2017-08-31 12:03:26GMT
rk19991005_1bvr025293	2017-08-31 09:07:34GMT
rs20110111_1bvr358808	2017-08-31 13:20:16GMT
rk20100727_2bvr061609	2017-08-31 13:28:18GMT
rk20050416_1bvr080805	2017-08-31 11:08:50GMT
rk20001219_1bvr168499	2017-08-31 08:44:26GMT
rs20080401_1bvr162004	2017-08-31 10:26:34GMT
rk20080915_1bvr156505	2017-08-31 10:21:08GMT
rk20030925_1bvr192003	2017-08-31 11:32:28GMT
rk20160728_1bvr033514	2017-08-31 12:00:48GMT
rk20051215_2bvr067305	2017-08-31 11:00:00GMT
rk20130930_1bvr319611	2017-08-31 12:42:50GMT
rk20000904_1bvr157100	2017-08-31 08:50:46GMT
qk20010501_1bvq002201	2017-08-31 08:37:06GMT
rk20161205_1bvr256916	2017-08-31 11:55:22GMT
rk20140702_2bvr006414	2017-08-31 12:34:42GMT
rk20150608_1bvr122714	2017-08-31 12:24:02GMT
rk20110714_1bvr040711	2017-08-31 13:12:54GMT
ks20000703_2bvk000398	2017-08-31 08:53:44GMT
rk20091124_1bvr021308	2017-08-31 10:00:10GMT
rk20090121_1bvr005809	2017-08-31 10:15:06GMT
rk20000303_2bvr003998	2017-08-31 08:59:12GMT
rs20090217_1bvr249208	2017-08-31 10:14:20GMT
rs20000314_1bvr028496	2017-08-31 08:58:34GMT
rk20030116_1bvr222202	2017-08-31 08:04:32GMT
qk20171220_2bvq008617	2018-03-07 13:58:14GMT
rk20101026_1bvr253910	2017-08-31 13:23:18GMT
rk20140826_2bvr240013	2017-08-31 12:33:18GMT
rk20040108_1bvr086403	2017-08-31 11:27:24GMT
rk20090414_1bvr046709	2017-08-31 10:11:00GMT
rk20030428_2bvr035803	2017-08-31 11:37:30GMT
rk20030402_1bvr021503	2017-08-31 11:38:16GMT
rk20020122_2bvr072001	2017-08-31 08:22:54GMT
rk20080506_2bvr192607	2017-08-31 10:25:26GMT
rk20021206_1bvr140902	2017-08-31 08:06:44GMT
rk20020930_2bvr052702	2017-08-31 08:10:16GMT
rk20050926_2bvr165103	2017-08-31 11:02:28GMT
rk20070912_2bvr141306	2017-08-31 10:35:14GMT
rk20041208_1bvr123804	2017-08-31 11:13:18GMT
rk20090220_1bvr226604	2017-08-31 10:13:48GMT
cs20160929_2bvc005214	2017-08-31 11:58:04GMT
rk20030312_1bvr224002	2017-08-31 11:39:08GMT
rk20030429_1bvr043603	2017-08-31 11:37:22GMT
rk20030221_2bvr128602	2017-08-31 11:40:26GMT
rk20051208_2bvr100104	2017-08-31 11:00:22GMT
rk20060815_2bvr144106	2017-08-31 10:49:24GMT
rk20110224_2bvr004511	2017-08-31 13:18:58GMT
rk20050209_2bvr110803	2017-08-31 11:11:24GMT
rk20020430_1bvr148701	2017-08-31 08:16:42GMT
rs20000523_1bvr176295	2017-08-31 08:55:06GMT
rs20091124_2bvr138704	2017-08-31 10:00:14GMT
rk20170315_2bvr032117	2017-08-31 11:49:58GMT
rk20070514_1bvr073007	2017-08-31 10:39:12GMT
rk20110324_1bvr014311	2017-08-31 13:17:34GMT
rk20080124_2bvr166106	2017-08-31 10:31:16GMT
rk20121119_2bvr019312	2017-08-31 12:52:54GMT
rk20170824_2bvr007716	2017-09-19 12:48:38GMT
ls20140224_1bvl001812	2017-08-31 12:38:58GMT
rk20070206_1bvr310106	2017-08-31 10:43:04GMT
rk20170725_2bvr140517	2017-08-31 11:44:02GMT
rk19980805_2bvr015396	2017-08-31 09:24:50GMT
rk20170620_2bvr034517	2017-08-31 11:45:54GMT
rk20010410_1bvr157700	2017-08-31 08:37:44GMT
rk20050912_2bvr143505	2017-08-31 11:03:02GMT
rk20110330_1bvr114608	2017-08-31 13:17:02GMT
rk20100814_1bvr043210	2017-08-31 13:27:34GMT
rk20050818_2bvr135705	2017-08-31 11:03:46GMT
rk20130816_2bvr086412	2017-08-31 12:44:16GMT
rk20150425_1bvr332614	2017-08-31 12:25:36GMT
rs19980715_1bvr155489	2017-08-31 09:25:52GMT
rs20120912a_2bvr139012	2017-08-31 12:55:12GMT
rk20041215_1bvr249504	2017-08-31 11:12:36GMT
rk20070320_1bvr104705	2017-08-31 10:41:00GMT
rk19991116_1bvr118096	2017-08-31 09:05:56GMT
rk20070320_1bvr122606	2017-08-31 10:41:04GMT
ls20160217_1bvl000810	2017-08-31 12:11:46GMT
rk20130123_2bvr167710	2017-08-31 12:50:22GMT
rk20020930_2bvr141802	2017-08-31 08:10:10GMT
rk19990225_1bvr147291	2017-08-31 09:17:02GMT
rk19990624_1bvr203398	2017-08-31 09:11:24GMT
rk20030611_1bvr157302	2017-08-31 11:34:56GMT
rk20060617_2bvr108505	2017-08-31 10:52:34GMT
cs20160303_2bvc003514	2017-08-31 12:10:40GMT
rk20151120_2bvr208715	2017-08-31 12:15:00GMT
rk20010905_1bvr048101	2017-08-31 08:30:50GMT
rk20080305_2bvr251607	2017-08-31 10:27:42GMT
rk20051129_2bvr173705	2017-08-31 11:01:06GMT
rk20100714_2bvr139210	2017-08-31 13:29:08GMT
rk20100705_2bvr075910	2017-08-31 13:29:46GMT
rs20021204_2bvr040098	2017-08-31 08:07:02GMT
rk20030226_2bvr099000	2017-08-31 11:40:06GMT
rk20140122_2bvr275912	2017-08-31 12:40:02GMT
rk20100408_1bvr270909	2017-08-31 13:32:42GMT
rk19990322_2bvr093898	2017-08-31 09:15:14GMT
rk20010926_2bvr134598	2017-08-31 08:29:32GMT
qk20090908_2bvq005709	2017-08-31 10:03:28GMT
rk20120131_2bvr208211	2017-08-31 13:03:56GMT
rk19990318_2bvr034698	2017-08-31 09:15:20GMT
rk20110505_2bvr259910	2017-08-31 13:15:20GMT
rk19980614_2bvr222796	2017-08-31 09:26:48GMT
rk20030312_1bvr048401	2017-08-31 11:39:16GMT
lk20100624_1bvl000510	2017-08-31 13:30:04GMT
lk20000125_1bvl003097	2017-08-31 09:02:04GMT
qk20150714_1bvq002315	2017-08-31 12:22:30GMT
rk20070927_2bvr161307	2017-08-31 10:34:48GMT
rk20160331_2bvr157613	2017-08-31 12:09:14GMT
rk20020716_2bvr147301	2017-08-31 08:13:42GMT
rk20110915_2bvr151611	2017-08-31 13:10:30GMT
rk20100914_2bvr263809	2017-08-31 13:25:18GMT
qk20070527_1bvq001607	2017-08-31 10:38:50GMT
ls19990428_1bvl003295	2017-08-31 09:13:34GMT
rk20050630_2bvr150204	2017-08-31 11:06:16GMT
rk20161213_2bvr061716	2017-08-31 11:54:58GMT
rk20080111_2bvr076407	2017-08-31 10:32:16GMT
rk20070521_1bvr164901	2017-08-31 10:38:58GMT
rk20060117_1bvr255805	2017-08-31 10:59:04GMT
rk20050126_2bvr189904	2017-08-31 11:11:50GMT
rk20060822_2bvr134503	2017-08-31 10:49:16GMT
rk20140825_2bvr204813	2017-08-31 12:33:22GMT
rk20031222_2bvr210800	2017-08-31 11:27:38GMT
rk20030917_1bvr082599	2017-08-31 11:32:46GMT
rk20010611_1bvr214899	2017-08-31 08:35:24GMT
rk20060509_2bvr158905	2017-08-31 10:54:18GMT
rs20130711_2bvr230211	2017-08-31 12:45:48GMT
rk20040129_2bvr182003	2017-08-31 11:26:14GMT
rk20150825_1bvr347413	2017-08-31 12:20:02GMT
rk20120216_1bvr111810	2017-08-31 13:03:16GMT
rk20020801_2bvr213501	2017-08-31 08:12:32GMT
rk20150519_2bvr098711	2017-08-31 12:24:34GMT
rk20160809_2bvr128716	2017-08-31 12:00:06GMT
rk20141210_2bvr154907	2017-08-31 12:30:00GMT
rk20120415_1bvr195111	2017-08-31 13:00:50GMT
rk20141014_2bvr234314	2017-08-31 12:31:28GMT
rk19991129_1bvr228498	2017-08-31 09:05:08GMT
rk19980701_2bvr175897	2017-08-31 09:26:16GMT
lk20060509_2bvl000102	2017-08-31 10:54:10GMT
rk20000412_2bvr044000	2017-08-31 08:56:30GMT
rk20160502_2bvr012016	2017-08-31 12:07:32GMT
rk20080214_2bvr191502	2017-08-31 10:29:46GMT
rk20050511_1bvr036799	2017-08-31 11:07:56GMT
rk20050627_2bvr242804	2017-08-31 11:06:48GMT
rk20001009_1bvr183995	2017-08-31 08:48:44GMT
rk20130408_2bvr256710	2017-08-31 12:48:22GMT
rk20090518_1bvr173105	2017-08-31 10:09:10GMT
rk20040526_1bvr268203	2017-08-31 11:19:46GMT
rk20080123_2bvr036407	2017-08-31 10:31:20GMT
rk19991029_1bvr199697	2017-08-31 09:06:46GMT
rk20081209_2bvr044304	2017-08-31 10:16:36GMT
rk19990930_2bvr177599	2017-08-31 09:07:38GMT
rk20080728_2bvr134708	2017-08-31 10:23:00GMT
qk20060127_1bvq000406	2017-08-31 10:58:20GMT
rk20061214_1bvr223606	2017-08-31 10:44:20GMT
rk20160920_1bvr138715	2017-08-31 11:58:40GMT
rk20081217_1bvr136908	2017-08-31 10:16:02GMT
rk20100715_2bvr032807	2017-08-31 13:29:00GMT
rk20031204_2bvr032803	2017-08-31 11:28:34GMT
rs20100707_2bvr074805	2017-08-31 13:29:28GMT
rk20010730_2bvr012800	2017-08-31 08:33:00GMT
rk20090302_2bvr019709	2017-08-31 10:12:56GMT
rs19980220_1bvr066194	2017-08-31 09:32:22GMT
rk20160906_2bvr149316	2017-08-31 11:59:16GMT
rk20161130_2bvr123814	2017-08-31 11:55:40GMT
rk20000912_2bvr146600	2017-08-31 08:50:30GMT
rk20021204_1bvr157402	2017-08-31 08:07:00GMT
rk20161214_2bvr255716	2017-08-31 11:54:54GMT
rk20001129_1bvr042294	2017-08-31 08:45:32GMT
rk20011210_2bvr040801	2017-08-31 08:25:16GMT
rs20030122_1bvr151394	2017-08-31 08:04:18GMT
cs19980226_2bvc002896	2017-08-31 09:32:08GMT
rk20050823_1bvr004605	2017-08-31 11:03:34GMT
rk20170630_1bvr138717	2017-08-31 11:45:08GMT
rk20171220_2bvr231217	2018-03-07 13:58:12GMT
rk20100218_1bvr152308	2017-08-31 09:57:10GMT
rk20011002_2bvr159401	2017-08-31 08:28:56GMT
rk20160510_1bvr287113	2017-08-31 12:06:58GMT
rk20101030_1bvr199310	2017-08-31 13:23:10GMT
rk20171005_2bvr019416	2020-08-27 10:16:22GMT
rk20011214_2bvr066801	2017-08-31 08:24:42GMT
rk20030610_1bvr208002	2017-08-31 11:35:08GMT
rk20040127_2bvr116603	2017-08-31 11:26:30GMT
rk20001115_1bvr121300	2017-08-31 08:46:04GMT
rk20090604_1bvr216308	2017-08-31 10:08:42GMT
rk20061024_2bvr003006	2017-08-31 10:45:56GMT
qk20040312_1bvq000604	2017-08-31 11:23:48GMT
rk20160304_2bvr055015	2017-08-31 12:10:30GMT
rk20070329_2bvr048907	2017-08-31 10:40:38GMT
es20090630_2bve000208	2017-08-31 10:07:10GMT
rk19991111_1bvr076299	2017-08-31 09:06:12GMT
rk19991110_2bvr203999	2017-08-31 09:06:30GMT
rk20170510_1bvr025317	2017-08-31 11:47:30GMT
qk20170603_1bvq002917	2017-08-31 11:46:54GMT
rk20020625_1bvr214401	2017-08-31 08:14:24GMT
rk20010703_1bvr043200	2017-08-31 08:34:36GMT
rk20050830_1bvr061699	2017-08-31 11:03:20GMT
rk20081007_2bvr110108	2017-08-31 10:20:34GMT
rk20060718_1bvr146505	2017-08-31 10:50:12GMT
rk20021220_1bvr230502	2017-08-31 08:05:24GMT
rk19991230_1bvr080995	2017-08-31 09:02:58GMT
qk20040715_2bvq002604	2017-08-31 11:17:34GMT
rk20000721_2bvr142998	2017-08-31 08:52:48GMT
rk20160502_2bvr126715	2017-08-31 12:07:26GMT
rk20160609_1bvr245312	2017-08-31 12:05:28GMT
rk19990122_2bvr096194	2017-08-31 09:19:04GMT
rk20010425_1bvr213999	2017-08-31 08:37:18GMT
rk20001030_2bvr164700	2017-08-31 08:46:42GMT
rs20010403_1bvr201495	2017-08-31 08:38:10GMT
rk20101221_1bvr050609	2017-08-31 13:20:38GMT
rk20160224_2bvr242714	2017-08-31 12:11:16GMT
rk20101201_1bvr168207	2017-08-31 13:21:50GMT
rk20130412_2bvr075913	2017-08-31 12:47:58GMT
rk20021030_2bvr218201	2017-08-31 08:08:48GMT
rk20150723_1bvr251814	2017-08-31 12:21:48GMT
rk20160429_2bvr089016	2017-08-31 12:07:34GMT
rk20091222_2bvr287909	2017-08-31 09:59:06GMT
rk20110325_2bvr141310	2017-08-31 13:17:12GMT
rk20040608_2bvr078504	2017-08-31 11:19:26GMT
up20030430_1pbvu000102	2017-08-31 11:37:12GMT
rk20040129_1bvr234103	2017-08-31 11:26:08GMT
rk20101110_1bvr206510	2017-08-31 13:22:32GMT
rk20010208_1bvr071999	2017-08-31 08:41:46GMT
rk20000407_1bvr008100	2017-08-31 08:56:44GMT
rk20100715_2bvr251808	2017-08-31 13:28:54GMT
rk20100511_2bvr051110	2017-08-31 13:31:26GMT
rk20140917_2bvr093914	2017-08-31 12:32:14GMT
rk20060919_2bvr236804	2017-08-31 10:47:16GMT
rk20160917_1bvr154716	2017-08-31 11:58:54GMT
rk20151028_1bvr240015	2017-08-31 12:15:56GMT
rk20030227_2bvr089702	2017-08-31 11:39:46GMT
rk20141217_1bvr334014	2017-08-31 12:29:30GMT
rk20170909_1bvr154417	2018-03-07 13:56:54GMT
rk20110413_1bvr068911	2017-08-31 13:16:42GMT
rs20160621_2bvr272813	2017-08-31 12:04:28GMT
rk19980403_2bvr041596	2017-08-31 09:29:50GMT
rk20090422_1bvr038609	2017-08-31 10:10:38GMT
qk20000925_2bvq003000	2017-08-31 08:49:40GMT
rk20011220_2bvr042901	2017-08-31 08:24:14GMT
qk20040831_1bvq003604	2017-08-31 11:15:56GMT
rk20000225_1bvr136399	2017-08-31 08:59:52GMT
rk20100520_2bvr122609	2017-08-31 13:31:14GMT
rk20130520_1bvr102412	2017-08-31 12:47:14GMT
cs20001009_2bvc001199	2017-08-31 08:48:24GMT
rk20150929_2bvr268311	2017-08-31 12:18:34GMT
rk20000427_2bvr080199	2017-08-31 08:55:48GMT
rk20101011_2bvr171010	2017-08-31 13:24:16GMT
rk20160120_1bvr274215	2017-08-31 12:12:48GMT
rk20060316_1bvr131196	2017-08-31 10:56:12GMT
rk19991202_1bvr016590	2017-08-31 09:04:14GMT
rk19980706_1bvr121090	2017-08-31 09:26:04GMT
rk20080220_1bvr238906	2017-08-31 10:29:20GMT
rk20071113_2bvr235404	2017-08-31 10:34:00GMT
rk20080724_2bvr130408	2017-08-31 10:23:22GMT
rk20051213_2bvr044705	2017-08-31 11:00:10GMT
rk20100702_1bvr066610	2017-08-31 13:29:52GMT
rk19981016_2bvr132896	2017-08-31 09:22:26GMT
cs20100505_2bvc000109	2017-08-31 13:31:44GMT
rk20070429_2bvr053202	2017-08-31 10:39:54GMT
rk19990810_2bvr018499	2017-08-31 09:09:32GMT
rk19990809_1bvr007590	2017-08-31 09:09:36GMT
rk20161214_2bvr256316	2017-08-31 11:54:50GMT
rk20040510_1bvr036899	2017-08-31 11:20:18GMT
qk19981015_2bvq003298	2017-08-31 09:22:28GMT
rk20000229_2bvr203398	2017-08-31 08:59:42GMT
rk20060706_2bvr024906	2017-08-31 10:50:54GMT
rs20020116_1bvr001099	2017-08-31 08:23:20GMT
rk20080304_1bvr261707	2017-08-31 10:27:48GMT
rk20070329_2bvr012007	2017-08-31 10:40:34GMT
rk20021023_1bvr089602	2017-08-31 08:09:16GMT
rk20060214_2bvr010906	2017-08-31 10:57:50GMT
rk20090121_1bvr252406	2017-08-31 10:15:04GMT
rs19980714_1bvr164097	2017-08-31 09:25:54GMT
rs20150324_1bvr288011	2017-08-31 12:26:56GMT
rk20110317_1bvr325508	2017-08-31 13:17:44GMT
rk20000405_1bvr121397	2017-08-31 08:56:54GMT
rk20171011_2bvr175817	2018-03-07 13:57:39GMT
rk20071107_2bvr041204	2017-08-31 10:34:10GMT
es20140319_2bve000712	2017-08-31 12:37:44GMT
rk20090108_1bvr075508	2017-08-31 10:15:24GMT
lk20030428_1bvl000401	2017-08-31 11:37:32GMT
rk20000111_2bvr241499	2017-08-31 09:02:46GMT
rk20050713_1bvr124505	2017-08-31 11:05:28GMT
rk20150819_1bvr191715	2017-08-31 12:20:24GMT
rk20011206_1bvr107996	2017-08-31 08:25:30GMT
qk20170126_1bvq000417	2017-08-31 11:52:20GMT
rk20030602_1bvr078996	2017-08-31 11:35:44GMT
rk20151207_2bvr076715	2017-08-31 12:14:36GMT
rk20000215_2bvr120897	2017-08-31 09:00:54GMT
rk20151222_1bvr220515	2017-08-31 12:13:40GMT
rk20091006_2bvr258008	2017-08-31 10:02:10GMT
rk20030627_2bvr100703	2017-08-31 11:34:36GMT
rk20020808_2bvr103002	2017-08-31 08:12:14GMT
rk20050623_1bvr023500	2017-08-31 11:06:52GMT
rs20131217_2bvr139012	2017-08-31 12:40:52GMT
rk20080407_1bvr055008	2017-08-31 10:26:24GMT
rk20020218_2bvr086301	2017-08-31 08:20:42GMT
rk19981028_1bvr034193	2017-08-31 09:21:58GMT
qk20010326_1bvq001501	2017-08-31 08:38:48GMT
rs20030312_1bvr033096	2017-08-31 11:39:20GMT
rk20051122_1bvr121705	2017-08-31 11:01:22GMT
rk20140620_1bvr098013	2017-08-31 12:35:34GMT
ls19980526_1bvl001194	2017-08-31 09:27:32GMT
rk19980915_1bvr154098	2017-08-31 09:23:48GMT
rk20111025_2bvr267410	2017-08-31 13:08:46GMT
qk20151214_2bvq004515	2017-08-31 12:14:12GMT
rk20011210_1bvr180397	2017-08-31 08:25:18GMT
rs19980507_2bvr199195	2017-08-31 09:28:00GMT
lk20080811_2bvl000503	2017-08-31 10:22:26GMT
rk20000126_1bvr191899	2017-08-31 09:01:58GMT
rk20050523_2bvr058305	2017-08-31 11:07:50GMT
rk20170511_2bvr003015	2017-08-31 11:47:28GMT
qk20160922_2bvq005216	2017-08-31 11:58:22GMT
rk20060215_2bvr023106	2017-08-31 10:57:36GMT
rk20171127_1bvr155514	2018-03-07 13:57:07GMT
rk20040614_2bvr113603	2017-08-31 11:19:06GMT
rs20060302_2bvr209904	2017-08-31 10:56:44GMT
rk20010719_2bvr207800	2017-08-31 08:33:20GMT
rk20170303_1bvr259716	2017-08-31 11:50:42GMT
rk20021219_2bvr066602	2017-08-31 08:05:28GMT
rk20110718_1bvr158411	2017-08-31 13:12:46GMT
ls20060621_2bvl000299	2017-08-31 10:52:18GMT
